"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"CCL2","ENSCAFG00000007225","FAM107A",60.53289405,-3.324274653,2.744900869,-8.70428035623999,2.05573105023999,-1.21107275331625,0.000166675,0.046349356
"CCL2","ENSCAFG00000008575","CUX2",265.7891309,2.609903798,1.984275107,-1.27927541172,6.49908300771999,1.31529332237901,0.000192196,0.046349356
"CCL2","ENSCAFG00000010913","C18H11orf24",1361.898914,0.670443748,0.638745432,-0.58149729872,1.92238479472,1.04962589853793,0.000169059,0.046349356
"CCL2","ENSCAFG00000012630","CNKSR1",116.0212054,1.727957123,1.35431221,-0.9264948086,4.3824090546,1.27589274484943,0.000191355,0.046349356
"CCL2","ENSCAFG00000016857","SEMA4A",986.9344669,-3.03105796,2.392313079,-7.71999159484,1.65787567483999,-1.26699886674824,0.000185348,0.046349356
"CCL2","ENSCAFG00000019003","CARHSP1",466.9474035,1.292182643,1.067919802,-0.800940168919999,3.38530545492,1.20999970276794,0.000180862,0.046349356
"CCL2","ENSCAFG00000023636","PRSS22",118.525425,3.115482585,2.504976981,-1.79427229775999,8.02523746776,1.24371705154603,0.000183446,0.046349356
"CCL2","ENSCAFG00000019408","ARHGAP4",644.9837216,-2.904594395,2.436957127,-7.68103036392,1.87184157391999,-1.19189392493567,0.000215159,0.051088759
"CCL2","ENSCAFG00000017664","SLC14A1",533.1035197,2.874974185,2.425359362,-1.87873016451999,7.62867853452,1.18538070277108,0.000219785,0.051396273
"CCL2","ENSCAFG00000019967","MBTPS1",5644.385641,0.295431863,0.1945748,-0.0859347449999999,0.676798471,1.51834596772038,0.000253416,0.058161174
"CCL2","ENSCAFG00000028762","KLRG1",65.39841962,-2.723162486,2.435393854,-7.49653443984,2.05020946784,-1.11816102415112,0.00025625,0.058161174
"CCL2","ENSCAFG00000034757","CCDC194",13.38054265,1.854905782,1.593945394,-1.26922719024,4.97903875423999,1.1637197792235,0.000262574,0.058732911
"CCL2","ENSCAFG00000035446","NA",17.25396134,1.635858835,1.443442203,-1.19328788288,4.46500555288,1.13330400870924,0.000269124,0.059338098
"CCL2","ENSCAFG00000005051","SCN5A",32.29176841,1.756156739,1.54859548,-1.27909040179999,4.7914038798,1.13403194164043,0.000277632,0.060351644
"CCL2","ENSCAFG00000024732","RUFY4",43.3864351,2.261475122,2.023072078,-1.70374615088,6.22669639488,1.11784209104189,0.000294165,0.063057484
"CCL2","ENSCAFG00000032287","CCL22",42.66305975,2.601967399,2.531177843,-2.35914117328,7.56307597128,1.02796704158728,0.000302833,0.064026298
"CCL2","ENSCAFG00000023057","MICALL2",716.8107162,0.629677577,0.712571965,-0.766963474399999,2.0263186284,0.88366874916276,0.000329226,0.068665862
"CCL2","ENSCAFG00000030348","NA",34.25713226,0.432778352,0.495550971,-0.53850155116,1.40405825516,0.873327623850019,0.00033977,0.069920065
"CCL2","ENSCAFG00000028607","GMFG",523.9950999,-1.690672462,1.629686428,-4.88485786088,1.50351293688,-1.03742194384894,0.000355555,0.072205802
"CCL2","ENSCAFG00000001623","SLC24A2",43.15822766,2.375139101,2.445933569,-2.41889069424,7.16916889624,0.971056258887299,0.000365999,0.073361488
"CCL2","ENSCAFG00000004584","TSC22D1",2326.549884,0.528179346,0.632717907,-0.711947751719999,1.76830644371999,0.834778564280463,0.000386128,0.073891718
"CCL2","ENSCAFG00000006815","TUSC3",1645.476275,0.348523643,0.384730384,-0.405547909639999,1.10259519564,0.90589061195645,0.000387795,0.073891718
"CCL2","ENSCAFG00000013889","RTP4",143.1619516,-2.324314576,2.428305405,-7.0837931698,2.4351640178,-0.957175555930535,0.00038258,0.073891718
"CCL2","ENSCAFG00000014319","UNC5B",311.2833835,1.056527501,1.127205284,-1.15279485564,3.26584985764,0.937298215326676,0.000379853,0.073891718
"CCL2","ENSCAFG00000003119","WDPCP",67.76144288,0.395154369,0.467615516,-0.52137204236,1.31168078036,0.845041183363984,0.000404932,0.076216055
"CCL2","ENSCAFG00000046142","NA",10.75890208,0.973308371,1.081662537,-1.14675020151999,3.09336694351999,0.899826274560159,0.00041387,0.076959816
"CCL2","ENSCAFG00000010736","KCNJ2",31.37142003,-1.629883951,1.678499417,-4.91974280832,1.65997490632,-0.971036352168122,0.000424905,0.077184377
"CCL2","ENSCAFG00000018540","MYO1F",810.0117899,-2.188701097,2.352960637,-6.80050394551999,2.42310175151999,-0.930190272877055,0.000425079,0.077184377
"CCL2","ENSCAFG00000046831","NA",42.08758294,2.048895327,2.152626013,-2.17025165848,6.26804231248,0.951812026160811,0.000431511,0.077441243
"CCL2","ENSCAFG00000007065","ITGB7",2025.557733,-1.913834232,2.068297751,-5.96769782396,2.14002935996,-0.925318528763415,0.000472355,0.082844558
"CCL2","ENSCAFG00000023904","CHRNB4",54.27029905,-0.79703667,0.953752006,-2.66639060176,1.07231726176,-0.835685445467886,0.00047122,0.082844558
"CCL2","ENSCAFG00000013971","ATP2A3",259.0990437,-2.094517767,2.406889792,-6.81202175931999,2.62298622531999,-0.870217562084371,0.00048496,0.084099714
"CCL2","ENSCAFG00000006370","HGF",571.358941,2.076948743,2.431065317,-2.68793927832,6.84183676432,0.854336873829046,0.0004993,0.085624401
"CCL2","ENSCAFG00000014026","SAR1A",1528.044461,0.26110931,0.153492519,-0.03973602724,0.56195464724,1.70112075625001,0.000527827,0.089521792
"CCL2","ENSCAFG00000028476","DRAP1",5642.191238,0.278403522,0.275585664,-0.26174437944,0.81855142344,1.01022498035311,0.000541897,0.09090914
"CCL2","ENSCAFG00000018381","ESM1",2827.414165,1.604509675,1.831118364,-1.98448231843999,5.19350166844,0.876245744974681,0.000556918,0.091284531
"CCL2","ENSCAFG00000023556","OAS1",2305.675159,-1.517573499,1.728060181,-4.90457145376,1.86942445576,-0.878194819651364,0.000553007,0.091284531
"CCL2","ENSCAFG00000047953","NA",4.09677748,1.553715531,1.779034985,-1.9331930396,5.0406241016,0.873347373210875,0.000561878,0.091284531
"CCL2","ENSCAFG00000011047","IL3RA",22.95641802,-1.777365791,2.155475386,-6.00209754756,2.44736596555999,-0.824581808052249,0.000611201,0.098263216
"CCL2","ENSCAFG00000019998","SLC30A7",834.8369554,0.310726463,0.386021141,-0.44587497336,1.06732789936,0.804946750312828,0.000631075,0.100412483
"CCL2","ENSCAFG00000003261","FBXO48",125.2039096,-0.371911686,0.517708311,-1.38661997556,0.64279660356,-0.718380752438799,0.000699821,0.110214715
"CCL2","ENSCAFG00000005675","RNF213",1666.341223,-1.083719156,1.394783396,-3.81749461216,1.65005630016,-0.776980253068627,0.000721248,0.110215204
"CCL2","ENSCAFG00000011646","ZFHX2",80.14539556,0.983043391,1.279980881,-1.52571913576,3.49180591776,0.768014120829668,0.000717056,0.110215204
"CCL2","ENSCAFG00000014624","IFI35",197.4916088,-1.318930286,1.662141219,-4.57672707524,1.93886650324,-0.793512771913275,0.000715071,0.110215204
"CCL2","ENSCAFG00000006668","KBTBD8",99.58121902,-0.775378636,1.061526993,-2.85597154228,1.30521427027999,-0.730437041274559,0.000751539,0.113718109
"CCL2","ENSCAFG00000031965","FGF1",25.47176508,1.50975423,1.983642147,-2.37818437812,5.39769283812,0.76110211324321,0.000774708,0.115550802
"CCL2","ENSCAFG00000032010","HAVCR2",36.95146249,-0.511545595,0.746392359,-1.97447461864,0.95138342864,-0.685357491715694,0.000786111,0.115550802
"CCL2","ENSCAFG00000048775","NA",10.98987546,-0.780488556,1.081326365,-2.8998882314,1.3389111194,-0.721788149501006,0.000786008,0.115550802
"CCL2","ENSCAFG00000010450","SLC37A1",243.3617322,-1.636438669,2.300364971,-6.14515401215999,2.87227667415999,-0.711382189187404,0.000795472,0.115823764
"CCL2","ENSCAFG00000013860","PLOD3",8949.093914,0.255399896,0.29183067,-0.316588217199999,0.8273880092,0.875164683684549,0.000847154,0.122196086
"CCL2","ENSCAFG00000010024","DOK2",383.0850229,-1.059548121,1.447158939,-3.89597964143999,1.77688339943999,-0.732157396430938,0.000858051,0.122621814
"CCL2","ENSCAFG00000000784","TTC38",959.6898255,-0.933995809,1.32587489,-3.5327105934,1.66471897539999,-0.704437361356168,0.000925503,0.125300119
"CCL2","ENSCAFG00000002982","MYBPC2",163.7801239,-1.349677106,1.883517514,-5.04137143344,2.34201722144,-0.716572633898003,0.000913305,0.125300119
"CCL2","ENSCAFG00000011948","DTX3L",394.2110918,-0.520439396,0.789154026,-2.06718128696,1.02630249496,-0.659490262804539,0.000904252,0.125300119
"CCL2","ENSCAFG00000014612","NA",14.68819448,0.815522393,1.175050612,-1.48757680651999,3.11862159251999,0.694031716312148,0.000917462,0.125300119
"CCL2","ENSCAFG00000024647","SERPINB5",146.1729604,1.025205648,1.420112029,-1.75821392884,3.80862522484,0.721918853628695,0.000886183,0.125300119
"CCL2","ENSCAFG00000031252","ZNF252",347.2149852,-0.336419349,0.501932299,-1.32020665504,0.64736795704,-0.670248457152983,0.000918153,0.125300119
"CCL2","ENSCAFG00000006888","IL31RA",15.63072485,-1.186490283,1.674176835,-4.4678768796,2.0948963136,-0.708700692899027,0.000956373,0.128353565
"CCL2","ENSCAFG00000001296","GRAP2",103.5408474,0.65882364,0.996712858,-1.29473356168,2.61238084168,0.660996429124023,0.000982032,0.128724094
"CCL2","ENSCAFG00000001858","DLK2",69.61247512,1.051295773,1.510411856,-1.90911146475999,4.01170301076,0.69603252174154,0.000992495,0.128724094
"CCL2","ENSCAFG00000011677","EPB41",1647.210821,-0.85022778,1.246574405,-3.2935136138,1.5930580538,-0.682051369408631,0.000988863,0.128724094
"CCL2","ENSCAFG00000015540","STX5",1036.613757,0.241199245,0.133883086,-0.02121160356,0.50361009356,1.80156621875297,0.000986912,0.128724094
"CCL2","ENSCAFG00000002120","CD274",176.2468199,-0.927280803,1.356266688,-3.58556351148,1.73100190548,-0.683700935224916,0.00101292,0.130278331
"CCL2","ENSCAFG00000024958","CCR10",13.72947127,-1.054278783,1.531681381,-4.05637428976,1.94781672376,-0.688314682203478,0.001024526,0.130682101
"CCL2","ENSCAFG00000016392","TTYH3",4261.293332,0.282411346,0.413004582,-0.527077634719999,1.09190032672,0.683797125524384,0.001053619,0.133291412
"CCL2","ENSCAFG00000009651","PPP1R15B",1831.663744,-0.2459829,0.312094353,-0.85768783188,0.36572203188,-0.788168378041752,0.001068918,0.134127494
"CCL2","ENSCAFG00000015190","PLAU",6317.848638,0.62750938,0.982365398,-1.29792680008,2.55294556008,0.638773903557218,0.001082125,0.134689657
"CCL2","ENSCAFG00000006219","SIGLEC1",306.2736074,-1.083681823,1.620518904,-4.25989887484,2.09253522884,-0.668725196802764,0.001109154,0.135847875
"CCL2","ENSCAFG00000006596","ANKS1B",421.5504785,0.847096353,1.28949749,-1.6803187274,3.3745114334,0.656919737780955,0.001112522,0.135847875
"CCL2","ENSCAFG00000006598","MCM4",8326.13568,-0.230822045,0.254871821,-0.730370814159999,0.26872672416,-0.905639721544579,0.001117836,0.135847875
"CCL2","ENSCAFG00000005275","TMC8",98.25010265,-1.261213963,1.95102529,-5.0852235314,2.5627956054,-0.646436501599628,0.001141778,0.136103037
"CCL2","ENSCAFG00000006402","CCKBR",22.01537575,1.191469835,1.812532147,-2.36109317312,4.74403284311999,0.657351008627379,0.001137741,0.136103037
"CCL2","ENSCAFG00000028636","IGFBP6",2271.749316,0.5842144,0.939011451,-1.25624804396,2.42467684396,0.622158973011288,0.001151796,0.136103037
"CCL2","ENSCAFG00000044565","NA",7.387088455,1.096292653,1.666625655,-2.1702936308,4.3628789368,0.657791778082283,0.001155209,0.136103037
"CCL2","ENSCAFG00000013828","ADORA2A",1358.209096,-0.996705824,1.526392101,-3.98843434196,1.99502269396,-0.652981513299904,0.001175932,0.136461208
"CCL2","ENSCAFG00000016734","EFNB1",1137.267714,0.350185193,0.572791175,-0.77248551,1.472855896,0.611366250536244,0.001172581,0.136461208
"CCL2","ENSCAFG00000016893","SNF8",1606.907939,-0.233936856,0.139401341,-0.50716348436,0.03928977236,-1.67815355520862,0.00119422,0.136530298
"CCL2","ENSCAFG00000018345","HTR4",11.43984601,1.112657857,1.712782392,-2.24439563132,4.46971134532,0.649620093128561,0.001187561,0.136530298
"CCL2","ENSCAFG00000011155","STARD9",527.7837122,-0.539559677,0.889689634,-2.28335135964,1.20423200564,-0.606458315777117,0.001222722,0.138760971
"CCL2","ENSCAFG00000048053","NA",111.6963009,-0.539632868,0.899966288,-2.30356679248,1.22430105648,-0.599614535783589,0.001271049,0.143192489
"CCL2","ENSCAFG00000044379","NA",5.872615809,-0.525389138,0.886671058,-2.26326441168,1.21248613568,-0.592541205963215,0.001312345,0.146773437
"CCL2","ENSCAFG00000010393","TAF5",230.1617025,-0.227406734,0.150190304,-0.52177972984,0.0669662618399999,-1.51412393439193,0.001324047,0.14701681
"CCL2","ENSCAFG00000006022","EFNB2",1433.680438,0.758709386,1.254729297,-1.70056003611999,3.21797880812,0.604679740732952,0.001390204,0.153260031
"CCL2","ENSCAFG00000014405","NA",80.46444191,-1.154945923,2.149239117,-5.36745459232,3.05756274632,-0.537374326506825,0.00144158,0.157726888
"CCL2","ENSCAFG00000014475","HOMER3",1209.446455,0.6090446,1.04603039,-1.4411749644,2.6592641644,0.582243695615765,0.00146138,0.157726888
"CCL2","ENSCAFG00000015235","SLC19A2",567.3687719,0.239677919,0.361691462,-0.46923734652,0.94859318452,0.662658492613242,0.001460279,0.157726888
"CCL2","ENSCAFG00000008028","SLC9A9",188.5765867,-0.553537712,0.964930363,-2.44480122348,1.33772579948,-0.573655605860544,0.001487549,0.159436292
"CCL2","ENSCAFG00000000005","PARD6G",213.6881637,0.586552277,1.025141995,-1.4227260332,2.5958305872,0.572166860650362,0.001528589,0.162599149
"CCL2","ENSCAFG00000011287","STS",97.93539809,0.554756354,0.976636314,-1.35945082143999,2.46896352944,0.56802757182752,0.001538129,0.162599149
"CCL2","ENSCAFG00000023746","TDRD3",382.6848602,0.213235275,0.176677663,-0.13305294448,0.55952349448,1.20691700002846,0.001566294,0.164450244
"CCL2","ENSCAFG00000001141","NDRG1",2819.432151,0.621411806,1.10062156,-1.53580645159999,2.77863006359999,0.56460079339169,0.001625205,0.166593814
"CCL2","ENSCAFG00000002138","IL18R1",95.1465193,0.691959008,1.219681461,-1.69861665556,3.08253467156,0.567327642606514,0.001649355,0.166593814
"CCL2","ENSCAFG00000012080","COG2",1218.942601,0.208050772,0.192868593,-0.16997167028,0.58607321428,1.07871773607017,0.001645575,0.166593814
"CCL2","ENSCAFG00000017184","IL6R",98.27189686,-0.885033514,1.55040514,-3.9238275884,2.1537605604,-0.570840157302368,0.0016607,0.166593814
"CCL2","ENSCAFG00000018183","NPC1",2421.290953,0.207790572,0.206141909,-0.19624756964,0.61182871364,1.00799770899569,0.001614735,0.166593814
"CCL2","ENSCAFG00000019049","CDH18",188.7731947,1.057899619,2.053312886,-2.96659363756,5.08239287556,0.515215983990079,0.001662268,0.166593814
"CCL2","ENSCAFG00000019714","SLC2A5",54.52180513,0.998420267,1.758383088,-2.44801058547999,4.44485111948,0.567805885880995,0.0016211,0.166593814
"CCL2","ENSCAFG00000009348","SYT6",18.81853038,1.015652573,1.8683194,-2.646253451,4.677558597,0.543618276939157,0.001707458,0.170018712
"CCL2","ENSCAFG00000006505","SIGIRR",284.4785281,0.386257731,0.722021542,-1.02890449132,1.80141995332,0.534967045346134,0.001747136,0.171753515
"CCL2","ENSCAFG00000019332","HCFC1R1",954.4860307,-0.244241517,0.412396627,-1.05253890592,0.56405587192,-0.592249065606445,0.001738365,0.171753515
"CCL2","ENSCAFG00000007107","TTLL9",18.96115337,0.646172189,1.176624202,-1.66001124692,2.95235562492,0.549174653981832,0.001791578,0.173906967
"CCL2","ENSCAFG00000023072","POC1A",2468.313522,0.207503983,0.174678142,-0.13486517532,0.54987314132,1.1879218580193,0.001787371,0.173906967
"CCL2","ENSCAFG00000028827","UBE2V2",1457.005286,-0.201314839,0.243238721,-0.67806273216,0.275433054159999,-0.827643058524386,0.001827262,0.176262241
"CCL2","ENSCAFG00000005795","ZNF385D",25.02315388,0.824729646,1.545787953,-2.20501474188,3.85447403388,0.533533492999087,0.001964005,0.185228341
"CCL2","ENSCAFG00000011081","ZMAT3",496.2303741,0.460899413,0.885619193,-1.27491420528,2.19671303128,0.520426179381593,0.001953139,0.185228341
"CCL2","ENSCAFG00000028978","IL2RG",328.9583399,-0.958298998,1.927305648,-4.73581806807999,2.81922007208,-0.497222118865497,0.001939452,0.185228341
"CCL2","ENSCAFG00000032204","PRSS53",366.3644521,0.799092762,1.495482078,-2.13205211088,3.73023763488,0.534337905987262,0.001968216,0.185228341
"CCL2","ENSCAFG00000006643","NA",66.91597614,-0.196175395,0.228510374,-0.64405572804,0.251704938039999,-0.858496669389723,0.001982526,0.185444284
"CCL2","ENSCAFG00000000273","AGAP2",394.1562614,-0.386939167,0.767111536,-1.89047777756,1.11659944356,-0.504410569834006,0.002107049,0.18873782
"CCL2","ENSCAFG00000000968","FSTL4",45.09204373,0.695977182,1.337141363,-1.92481988947999,3.31677425348,0.5204963373794,0.002115566,0.18873782
"CCL2","ENSCAFG00000006411","SMPD1",951.5604716,0.2267643,0.396996923,-0.551349669079999,1.00487826908,0.571199137480468,0.002067161,0.18873782
"CCL2","ENSCAFG00000010999","PRKAR1A",7709.16259,0.205573559,0.162061867,-0.11206770032,0.523214818319999,1.26848815705671,0.002038319,0.18873782
"CCL2","ENSCAFG00000011339","LHX9",42.84485127,0.764478205,1.469748755,-2.11622935479999,3.6451857648,0.520142100749729,0.002110283,0.18873782
"CCL2","ENSCAFG00000012214","KDF1",12.85525726,0.645736232,1.231628947,-1.76825650412,3.05972896812,0.524294458629673,0.00205744,0.18873782
"CCL2","ENSCAFG00000041383","NA",1787.427851,-0.234878352,0.423715746,-1.06536121416,0.59560451016,-0.554330005946958,0.002088058,0.18873782
"CCL2","ENSCAFG00000049043","NA",4907.382616,-0.203615821,0.166503517,-0.52996271432,0.12273107232,-1.22289201254529,0.002052045,0.18873782
"CCL2","ENSCAFG00000005150","GCKR",97.73594299,0.450043686,0.892057854,-1.29838970784,2.19847707984,0.504500558996255,0.002149047,0.190622916
"CCL2","ENSCAFG00000002733","IL6",30.74198615,0.790156677,1.555542085,-2.25870580959999,3.8390191636,0.507962262557493,0.0022059,0.192349467
"CCL2","ENSCAFG00000009800","NA",192.1442853,-0.582109514,1.140074362,-2.81665526352,1.65243623552,-0.510589075065964,0.002185631,0.192349467
"CCL2","ENSCAFG00000011607","MSMO1",44.26641486,0.365502993,0.735016075,-1.075128514,1.8061345,0.497272107960359,0.002199659,0.192349467
"CCL2","ENSCAFG00000025083","FADS1",167.7236942,0.408621219,0.82246941,-1.2034188246,2.0206612626,0.49682239124249,0.002222759,0.192730666
